bl_id,title,type,sources,req_ids,package,blocks,landing,gate,size,status
BL-001,Human-judgement gates satisfied by tested deterministic gate,process,RISK-P0-05 RISK-P0-06 RISK-P5-06,,policy,,accepted,,S,accepted
BL-002,"Foundational tech-stack/tooling ADRs — decision stands, monitor revisit trigger",process,ADR-001 ADR-002 ADR-003 ADR-004 ADR-005 ADR-006 ADR-007 ADR-008 ADR-009 ADR-010 ADR-011 ADR-012 ADR-013 ADR-014 ADR-016 ADR-017 ADR-019 ADR-020 ADR-021 ADR-023 ADR-024 ADR-025 ADR-029 ADR-044 ADR-045 ADR-058,,docs,,accepted,,S,accepted
BL-003,claim table partitioning (deferred; FK contract kept),schema-refinement,LD-F01 ADR-022,,db,,P22+,,L,open
BL-004,Persist reconcile/inference/tasks/contradiction layer to PG (compute-on-read -> materialised),deferred-feature,LD-V05 LD-D07 RISK-P8-09 RISK-P10-08 RISK-P10-13 RISK-P12-13 ADR-036 ADR-037 ADR-038 ADR-039 ADR-040 ADR-031 ADR-059,SIG-EPIS-018 SIG-RECON-039/040,reconcile,OKC-live,P21.2,,L,open
BL-005,Persist contributor system to PG (tiers/submissions/revert/anomaly),deferred-feature,RISK-P16-07 LD-F10 ADR-054,SIG-CONTRIB,tasks,,P21.2,,M,open
BL-006,Persist identity registries and mint surrogate entity_id end-to-end into PG,deferred-feature,RISK-P3-03,SIG-IDENT-020/025,resolution,,P21.2,,M,open
BL-007,Wire web surfaces to the live /v1 API/exports (replace committed TS fixtures),deferred-feature,RISK-P15-07 RISK-P15-08 RISK-P15-13 RISK-P15-14 RISK-P15-20 RISK-P15-25 RISK-P15-26 RISK-P15-31 RISK-P15-32 LD-V08 RISK-P2-14 RISK-P9-08 RISK-P13-08 RISK-P13-09 RISK-P13-13 ADR-049 ADR-050 ADR-052 ADR-053 ADR-032 ADR-046,SIG-PUB-007 SIG-UI-010,web,OKC-live,P21.4,,L,open
BL-008,Project bulk exports / licence compartments from a live ReadStore,deferred-feature,RISK-P14-08 RISK-P14-18,SIG-INGEST-016 SIG-LIC-010,exports,OKC-live,P21.4,,M,open
BL-009,Curation/review web UI + asset-promotion service,deferred-feature,LD-F05 LD-H04 LD-D04 ADR-030,SIG-PUB-012,web,,P21.6,,M,open
BL-010,Interactive MapLibre map vs zero-JS static PMTiles (spec amendment A1),docs-drift,ADR-051 ADR-018 LD-F09 LD-D11 RISK-P15-21,SIG-UI-038,web,,P20.2,,M,open
BL-011,ADR Appendix-F <-> docs/adr numbering reconciliation,docs-drift,LD-X04 LD-D03,,docs,,P20.2,,S,open
BL-012,"Absence-kind not_researched spec wording (SIG-RECON, §32.2)",docs-drift,LD-F14 LD-D08,,docs,,P20.2,,S,open
BL-013,verify-gen / RDF-canonicalisation semantics documented (AGENTS.md gotchas),docs-drift,LD-X03 LD-X07,,docs,,accepted,,S,closed
BL-014,Ledger hygiene + manifest/template fixes + composed-stack confirmations (P19.1/P19.2),process,LH-01 LH-02 LH-03 LH-04 LH-05 LH-06 LH-07 LH-08 LH-09 LH-10 LH-11 LH-12 LH-13 LH-14 LH-15 LD-X01 LD-X02 LD-X06 LD-X08 LD-X09 LD-X10 LD-X11,,docs,,closed-by:P19.4,,S,closed
BL-015,DB-backed ReadStore + PgClaimSink over the PG spine,deferred-feature,LD-F06 LD-V06 ADR-047 RISK-P14-07 RISK-P6-07,SIG-API-001/002,api,,closed-by:P19.4,,L,closed
BL-016,Handoff seams & composed-stack verification confirmed (P19.2/P19.3/P19.4),process,LD-V01 LD-V02 LD-V11 LD-H01 LD-H03 LD-H05 LD-H06 LD-H07 LD-H10 LD-H13 LD-F12 LD-F13 LD-F18 RISK-P11-13,,docs,,closed-by:P19.4,,M,closed
BL-017,ER over PG + PG review queue (SIG-IDENT),deferred-feature,LD-F04 LD-V04 RISK-P5-04 ADR-060 ADR-061,SIG-IDENT-020/021/025/026,resolution,,closed-by:P19.5,,L,closed
BL-018,Export gate honours derivative_permitted (SIG-LIC-004/010),defect,LD-F08 LD-H09,SIG-LIC-004/010,policy,,closed-by:P19.5,,M,closed
BL-019,"Jurisdiction-conditional web render at build time (BCP-47, GDPR withholding)",deferred-feature,LD-V12 LD-H11,,web,,closed-by:P19.5,,M,closed
BL-020,inference CLI wired (coverage/access-paths/completeness/freshness),deferred-feature,LD-F15,,inference,,closed-by:P19.5,,S,closed
BL-021,"P08.1 resolver ADR-060 + risk-register section (retro, §51.3)",docs-drift,LD-X05,,docs,,closed-by:P19.5,,S,closed
