id,level,spec_section,class,verdict,evidence,owning_tickets,tests,adrs,risk_rows,routing,note
SIG-API-001,MUST,37.1 Principles,covered+tested,MET,tests/api/test_api_shape.py:4;api/src/api/store.py:6;tests/api/test_store_pg.py:127,P14.1,tests/api/test_api_shape.py:4;tests/api/test_store_pg.py:127,ADR-017;ADR-047;ADR-059,—,—,Closed P19.4 (closed_by=P19.4): PgReadStore serves create_app(store) over PG (api/store_pg.py); all 12 /v1 families+/id 200 over PG
SIG-API-002,MUST,37.1 Principles,covered+tested,MET,tests/api/test_api_envelope_contract.py:4;api/src/api/models.py:9;tests/api/test_store_pg.py:158,P14.1,tests/api/test_api_envelope_contract.py:4;tests/api/test_store_pg.py:158,ADR-047;ADR-059,RISK-P14-01,—,"Closed P19.4 (closed_by=P19.4): resolution envelope served over PgReadStore, contradiction kept visible (api/store_pg.py)"
SIG-API-003,MUST,37.1 Principles,covered+tested,MET,tests/api/test_api_coverage_license.py:4;api/src/api/models.py:12,P14.1,tests/api/test_api_coverage_license.py:4,ADR-047,—,—,
SIG-API-004,MUST,37.1 Principles,covered+untested,MET,exports/src/exports/compartments.py:206,P14.1;P14.2,—,ADR-047,RISK-P14-06,—,implemented; no id-linked automated test (RISK-P19-04)
SIG-API-005,MUST,37.2 As-of semantics,covered+tested,MET,tests/api/test_api_as_of.py:4;api/src/api/models.py:11,P14.1,tests/api/test_api_as_of.py:4,ADR-047,RISK-P14-02,—,
SIG-API-006,MUST,37.2 As-of semantics,covered+tested,MET,tests/api/test_api_as_of.py:8;api/src/api/store.py:12,P14.1,tests/api/test_api_as_of.py:8,ADR-047,RISK-P14-03,—,
SIG-API-007,MUST,37.3 Shape,covered+tested,MET,tests/api/test_api_shape.py:46;api/src/api/routes.py:4,P14.1,tests/api/test_api_shape.py:46,ADR-047,—,—,
SIG-API-008,MUST,37.3 Shape,covered+tested,MET,tests/api/test_api_dereference.py:4;api/src/api/dereference.py:4,P14.1,tests/api/test_api_dereference.py:4,ADR-047,—,—,
SIG-API-009,MUST,37.3 Shape,covered+tested,MET,tests/api/test_api_changes.py:4;reconcile/src/reconcile/snapshot_diff.py:9,P14.1,tests/api/test_api_changes.py:4,ADR-047,—,—,
SIG-API-010,SHOULD,37.3 Shape,covered+untested,MET,ADR-047,P14.1,—,ADR-047,RISK-P14-10,—,"design recorded in ADR (ADR-047); implemented, not id-stamped in code"
SIG-API-011,MUST,37.4 Access tiers and anti-misuse,covered+tested,MET,tests/api/conftest.py:52;api/src/api/tiers.py:4,P14.1,tests/api/conftest.py:52,ADR-047,RISK-P14-05;RISK-P14-09,—,
SIG-API-012,MUST,37.4 Access tiers and anti-misuse,covered+tested,MET,tests/api/test_api_prohibitions.py:4;api/src/api/terms.py:9,P14.1,tests/api/test_api_prohibitions.py:4,ADR-047,RISK-P14-04,—,
SIG-API-013,MUST,37.4 Access tiers and anti-misuse,covered+tested,MET,tests/api/test_api_terms.py:4;api/src/api/terms.py:4,P14.1,tests/api/test_api_terms.py:4,ADR-047,—,—,
